Title,Author,Book Subcategory,NYT Ranking,Amz Star ratings,Total_num_of_rating,Amazon Price,ISBN,Publisher,NYT Pub Date,Amazon Product ID
QUIET,Susan Cain,Combined Print Nonfiction,13,5.0,3.0,40.8,9780307352156,Broadway,2022-02-02,9123962984
THE NEW DIGITAL AGE,Eric Schmidt and Jared Cohen,Combined Print Nonfiction,14,3.9,327.0,14.95,9780307957139,Knopf,2022-02-02,0307957136
WAY OF THE KNIFE,Mark Mazzetti,Combined Print Nonfiction,15,4.4,508.0,13.99,9781594204807,Penguin Press,2022-02-02,014312501X
NO MAN'S LAND,David Baldacci,E-Book Fiction,10,4.6,8369.0,9.99,9781455586493,Grand Central,2022-02-02,B01FQLZS1S
BELOW THE BELT,Stuart Woods,E-Book Fiction,11,4.5,1365.0,9.99,9780399574184,Putnam,2022-02-02,B01E4WAFFO
THE GUESTS ON SOUTH BATTERY,Karen White,E-Book Fiction,9,4.7,1423.0,11.99,9780698193000,Berkley,2022-02-02,B01E4WAFW2
SOUTH TO AMERICA,Imani Perry,Hardcover Nonfiction,6,4.7,12.0,19.2,9780062977403,Ecco,2022-02-02,0062977407
THE MISTRESS,Danielle Steel,E-Book Fiction,8,4.5,2652.0,6.99,9780425285350,Delacorte,2022-02-02,B01E2GZ5FC
LET'S EXPLORE DIABETES WITH OWLS,David Sedaris,Combined Print Nonfiction,1,4.4,2549.0,0.0,9780316154697,"Little, Brown",2022-02-02,B00C6K1BK0
HIDDEN FIGURES,Margot Lee Shetterly,E-Book Nonfiction,1,4.6,5819.0,10.17,9780062363619,Morrow/HarperCollins,2022-02-02,0062363603
THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,E-Book Fiction,2,4.7,12902.0,11.99,9780440337973,Dial,2022-02-02,B0015DWJX2
THE WHISTLER,John Grisham,E-Book Fiction,3,4.4,19195.0,9.99,9780385541206,Doubleday,2022-02-02,B01C1LUFFK
RING OF FIRE,Brad Taylor,E-Book Fiction,4,4.7,806.0,9.99,9781101984772,Dutton,2022-02-02,B01DTSGF30
SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,5,4.7,20928.0,13.58,9780345544964,Ballantine,2022-02-02,0345544978
A MAN CALLED OVE,Fredrik Backman,E-Book Fiction,7,4.6,41773.0,7.63,9781476738031,Atria,2022-02-02,1476738025
LEAN IN,Sheryl Sandberg with Nell Scovell,Combined Print Nonfiction,2,3.2,2.0,15.39,9780385349949,Knopf,2022-02-02,B07P73J73R
FIFTY SHADES OF GREY,E L James,Combined Print Fiction,13,4.0,56993.0,0.0,9780345803481,Vintage,2022-02-02,B007R07BK8
THE INTERESTINGS,Meg Wolitzer,Combined Print Fiction,20,3.7,2604.0,10.2,9781594488399,Riverhead,2022-02-02,1594632340
THANK YOU FOR BEING LATE,Thomas L Friedman,E-Book Nonfiction,15,4.5,2108.0,0.0,9780374715144,"Farrar, Straus & Giroux",2022-02-02,B01M6Y5Y66
TROUBLEMAKER,Leah Remini and Rebecca Paley,E-Book Nonfiction,14,4.7,7852.0,0.0,9781101886977,Ballantine,2022-02-02,B01604H1DI
BORN A CRIME,Trevor Noah,E-Book Nonfiction,13,4.3,18.0,23.43,9780399588181,Spiegel & Grau,2022-02-02,163758167X
THE MAGNOLIA STORY,Chip Gaines and Joanna Gaines with Mark Dagostino,E-Book Nonfiction,12,4.8,9951.0,0.0,9780718081539,W Publishing/Thomas Nelson,2022-02-02,B01DFBXA8O
ALEXANDER HAMILTON,Ron Chernow,E-Book Nonfiction,11,4.8,17866.0,0.0,9781101200858,Penguin,2022-02-02,B0007OB58A
THE PRINCESS DIARIST,Carrie Fisher,E-Book Nonfiction,10,4.4,2982.0,0.0,9780698188365,Blue Rider,2022-02-02,B01AAXYD54
THE UNDOING PROJECT,Michael Lewis,E-Book Nonfiction,9,4.4,3213.0,0.0,9780393254600,Norton,2022-02-02,B01KBM82M4
WHEN BREATH BECOMES AIR,Paul Kalanithi,E-Book Nonfiction,8,4.8,23204.0,14.63,9780812988413,Random House,2022-02-02,081298840X
KILLING THE RISING SUN,Bill O'Reilly and Martin Dugard,E-Book Nonfiction,7,4.8,10712.0,0.0,9781627790635,Holt,2022-02-02,B01EIL01T6
THREE DAYS IN JANUARY,Bret Baier with Catherine Whitney,E-Book Nonfiction,6,4.6,1241.0,11.99,9780062569066,Morrow/HarperCollins,2022-02-02,B01ER6LJFM
WISHFUL DRINKING,Carrie Fisher,E-Book Nonfiction,5,4.3,18.0,23.43,9781439153802,Simon & Schuster,2022-02-02,163758167X
THE LOST CITY OF THE MONKEY GOD,Douglas Preston,E-Book Nonfiction,4,4.4,4915.0,9.24,9781455540020,Grand Central,2022-02-02,1455540013
UNSINKABLE,Debbie Reynolds and Dorian Hannaway,E-Book Nonfiction,3,4.4,1295.0,0.0,9780062213679,Morrow,2022-02-02,B00BW9ZW88
THE FORGOTTEN,David Baldacci,Combined Print Fiction,19,4.8,9.0,64.47,9781455523153,Grand Central,2022-02-02,9123978724
CALICO JOE,John Grisham,Combined Print Fiction,18,4.4,5490.0,6.99,9780345541338,Dell,2022-02-02,B0067AN0VI
DON'T GO,Lisa Scottoline,Combined Print Fiction,17,4.4,1249.0,4.99,9781250010070,St. Martin's,2022-02-02,B008BU6THE
THE MYSTERY WOMAN,Amanda Quick,Combined Print Fiction,16,4.5,798.0,8.99,9780399159091,Putnam,2022-02-02,B00AFPVQK8
THE BURGESS BOYS,Elizabeth Strout,Combined Print Fiction,15,4.1,3083.0,9.99,9781400067688,Random House,2022-02-02,B009MYAWIA
THE BLACK BOX,Michael Connelly,Combined Print Fiction,14,4.5,7461.0,11.99,9781455526956,Grand Central,2022-02-02,B0076DELIG
RED-HANDED,Peter Schweizer,Hardcover Nonfiction,1,4.9,45.0,23.68,9780063061149,Harper,2022-02-02,0999208314
WORLD WAR Z,Max Brooks,Combined Print Fiction,12,4.4,7675.0,0.0,9780307346612,Broadway,2022-02-02,B00BIK73QA
A GAME OF THRONES,George RR Martin,Combined Print Fiction,11,4.7,24270.0,0.0,9780553573404,Bantam,2022-02-02,B0001DBI1Q
THE BEST OF ME,Nicholas Sparks,Combined Print Fiction,10,4.6,7783.0,8.99,9780446547635,Grand Central,2022-02-02,B004QZ9PLU
GONE GIRL,Gillian Flynn,Combined Print Fiction,9,4.1,63770.0,0.0,9780307588364,Crown,2022-02-02,B0088UT8IO
DADDY'S GONE A HUNTING,Mary Higgins Clark,Combined Print Fiction,8,4.5,2011.0,0.0,9781451668940,Simon & Schuster,2022-02-02,B009R659L8
WEDDING NIGHT,Sophie Kinsella,Combined Print Fiction,7,3.9,3570.0,0.0,9780812993844,Dial,2022-02-02,B00CAZKFJ4
BEAUTIFUL RUINS,Jess Walter,Combined Print Fiction,6,4.0,4229.0,11.59,9780061928178,Harper Perennial,2022-02-02,0061928178
LIFE AFTER LIFE,Kate Atkinson,Combined Print Fiction,5,3.9,7945.0,10.67,9780316176484,Reagan Arthur Books,2022-02-02,0316176494
PARIS,Edward Rutherfurd,Combined Print Fiction,4,4.4,2788.0,0.0,9780385535304,Doubleday,2022-02-02,B00B3Y1CI6
FLY AWAY,Kristin Hannah,Combined Print Fiction,3,4.5,13801.0,10.67,9780312577216,St. Martin's,2022-02-02,1250031818
WHISKEY BEACH,Nora Roberts,Combined Print Fiction,2,4.6,7622.0,0.0,9780399159893,Putnam,2022-02-02,B00BPDZURE
THE HIT,David Baldacci,Combined Print Fiction,1,4.6,11503.0,11.99,9781455521210,Grand Central,2022-02-02,B00A6JLDJ2
HOW TO BE PERFECT,Michael Schur,Hardcover Nonfiction,2,4.0,22.0,0.0,9781982159313,Simon & Schuster,2022-02-02,B099BZCW7G
DEVIL HOUSE,John Darnielle,Hardcover Fiction,7,3.7,28.0,20.16,9780374212230,MCD,2022-02-02,0374212236
VIOLETA,Isabel Allende,Hardcover Fiction,8,4.5,239.0,13.99,9780593496206,Ballantine,2022-02-02,B093G9NJSX
THE MAGNOLIA PALACE,Fiona Davis,Hardcover Fiction,9,4.4,350.0,14.99,9780593184011,Dutton,2022-02-02,B093GB94J3
A FLICKER IN THE DARK,Stacy Willingham,Hardcover Fiction,9,4.3,1196.0,0.0,9781250803825,Minotaur,2022-01-30,B094DSXBS5
INVISIBLE,Danielle Steel,Hardcover Fiction,11,4.6,2502.0,14.99,9781984821584,Delacorte,2022-01-30,B091PJSK74
OLGA DIES DREAMING,Xochitl Gonzalez,Hardcover Fiction,15,4.3,360.0,18.24,9781250786173,Flatiron,2022-01-30,1250786177
AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,14,4.9,26872.0,14.0,9781501135972,Threshold Editions,2022-01-30,150113597X
A LITTLE CLOSER TO HOME,Ginger Zee,Hardcover Nonfiction,9,4.8,260.0,15.29,9781368042000,Hyperion Avenue,2022-01-30,1400231434
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,15,4.7,7810.0,14.49,9781250223180,Flatiron,2022-01-30,1250223180
CHASING HISTORY,Carl Bernstein,Hardcover Nonfiction,8,4.5,163.0,25.49,9781627791502,Holt,2022-01-30,1627791507
HOW CIVIL WARS START,Barbara F. Walter,Hardcover Nonfiction,6,4.5,238.0,24.3,9780593137789,Crown,2022-01-30,0593137787
STAR WARS: THE FALLEN STAR,Claudia Gray,Hardcover Fiction,13,4.5,426.0,0.0,9780593355398,Del Rey,2022-01-23,B09B2MSJGD
PERIL,Bob Woodward and Robert Costa,Hardcover Nonfiction,9,2.5,2.0,64.99,9781982182915,Simon & Schuster,2022-01-23,9124143693
THE LYRICS: 1956 TO THE PRESENT,Paul McCartney,Hardcover Nonfiction,10,4.8,1781.0,90.0,9781631492563,Liveright,2022-01-23,163149256X
THE DAWN OF EVERYTHING,David Graeber and David Wengrow,Hardcover Nonfiction,14,4.5,1546.0,0.0,9780374157357,"Farrar, Straus & Giroux",2022-01-23,B08TYBMHGV
ALL ABOUT ME!,Mel Brooks,Hardcover Nonfiction,15,4.6,1822.0,0.0,9780593159118,Ballantine,2022-01-23,B0992RFCW7
THE SCHOOL FOR GOOD MOTHERS,Jessamine Chan,Hardcover Fiction,15,3.9,803.0,17.99,9781982156121,Simon & Schuster,2022-01-23,1982156120
RECKLESS GIRLS,Rachel Hawkins,Hardcover Fiction,11,4.0,1059.0,14.99,9781250274250,St. Martin's,2022-01-23,B092T9QSD9
"BEAUTIFUL WORLD, WHERE ARE YOU",Sally Rooney,Hardcover Fiction,13,3.9,6771.0,16.8,9780374602604,"Farrar, Straus & Giroux",2022-01-16,0374602603
A SLOW FIRE BURNING,Paula Hawkins,Hardcover Fiction,14,3.9,9732.0,0.0,9780735211230,Riverhead,2022-01-16,B08PQ1K5FL
THE DARK HOURS,Michael Connelly,Hardcover Fiction,15,4.6,25281.0,14.99,9780316485647,"Little, Brown",2022-01-16,B08WLRG1L2
RENEGADES,Barack Obama and Bruce Springsteen,Hardcover Nonfiction,11,4.8,1540.0,29.03,9780593236314,Crown,2022-01-16,0593236319
THE PRESIDENT AND THE FREEDOM FIGHTER,Brian Kilmeade,Hardcover Nonfiction,13,4.8,2524.0,12.99,9780525540571,Sentinel,2022-01-16,0525540571
VANDERBILT,Anderson Cooper and Katherine Howe,Hardcover Nonfiction,14,4.4,7647.0,0.0,9780062964618,Harper,2022-01-16,B08SXWYXF8
"BEST WISHES, WARMEST REGARDS",Daniel Levy and Eugene Levy,Hardcover Nonfiction,15,4.9,2093.0,20.0,9780762499502,Black Dog & Leventhal,2022-01-16,0762499508
STATE OF TERROR,Hillary Rodham Clinton and Louise Penny,Hardcover Fiction,13,4.5,18274.0,14.99,9781982173678,"Simon & Schuster, St. Martin's",2022-01-09,B08VJL9Z5X
HARLEM SHUFFLE,Colson Whitehead,Hardcover Fiction,15,4.3,6464.0,14.99,9780385545136,Doubleday,2022-01-09,B08QMZC2PM
MERCY,David Baldacci,Hardcover Fiction,14,4.6,15847.0,14.99,9781538719725,Grand Central,2022-01-09,B08Y8L2WB3
FEAR NO EVIL,James Patterson,Hardcover Fiction,11,4.6,9374.0,14.99,9780316499149,"Little, Brown",2022-01-09,B08Y8M2Y7T
ALL AMERICAN CHRISTMAS,Rachel Campos-Duffy and Sean Duffy,Hardcover Nonfiction,8,4.8,5217.0,14.28,9780063046641,Broadside,2022-01-09,0063046644
THE BOOK OF HOPE,Jane Goodall and Douglas Abrams with Gail Hudson,Hardcover Nonfiction,15,4.8,878.0,16.8,9781250784094,Celadon,2022-01-02,1250784093
THE BEATLES: GET BACK,the Beatles,Hardcover Nonfiction,8,4.8,2133.0,30.0,9780935112962,Callaway,2022-01-02,0935112960
PROJECT HAIL MARY,Andy Weir,Hardcover Fiction,14,5.0,2.0,79.9,9780593135204,Ballantine,2022-01-02,9124125288
AUTOPSY,Patricia Cornwell,Hardcover Fiction,12,4.4,4853.0,14.99,9780063112193,Morrow,2021-12-26,B08XQQY33Y
WELCOME TO DUNDER MIFFLIN,Brian Baumgartner and Ben Silverman,Hardcover Nonfiction,14,4.8,878.0,19.79,9780063082199,Custom House,2021-12-26,0063082195
FOR SUCH A TIME AS THIS,Kayleigh McEnany,Hardcover Nonfiction,6,4.8,626.0,22.26,9781637582350,Post Hill,2021-12-26,0310259193
THERE AND BACK,Jimmy Chin,Hardcover Nonfiction,7,4.6,613.0,45.0,9781984859501,Ten Speed,2021-12-26,1984859501
BETRAYAL,Jonathan Karl,Hardcover Nonfiction,14,4.8,2843.0,21.99,9780593186329,Dutton,2021-12-19,059318632X
THE BECOMING,Nora Roberts,Hardcover Fiction,14,4.7,10055.0,14.99,9781250272706,St. Martin's,2021-12-19,B08R2KLCXH
FLYING ANGELS,Danielle Steel,Hardcover Fiction,8,4.6,4759.0,14.99,9781984821553,Delacorte,2021-12-12,B08XBQ7BZ9
THE CHRISTMAS PROMISE,Richard Paul Evans,Hardcover Fiction,7,4.7,2136.0,10.99,9781982177423,Gallery,2021-12-12,198217742X
GOD BLESS THIS MESS,Hannah Brown with Mark Dagostino,Hardcover Nonfiction,13,4.6,1128.0,0.0,9780063098206,Harper,2021-12-12,B08PHNV1ZZ
GAME ON,Janet Evanovich,Hardcover Fiction,8,4.6,13774.0,15.99,9781982154875,Atria,2021-12-05,B08VJM3RKN
BETTER OFF DEAD,Lee Child and Andrew Child,Hardcover Fiction,7,4.1,25620.0,14.99,9781984818508,Delacorte,2021-12-05,B08SBMCSQQ
CLIVE CUSSLER'S THE DEVIL'S SEA,Dirk Cussler,Hardcover Fiction,9,4.6,3900.0,14.99,9780593419649,Putnam,2021-12-05,B08WHKKV4J
NEVER,Ken Follett,Hardcover Fiction,11,4.3,10834.0,15.99,9780593300015,Viking,2021-12-05,B08WCFQVR8
TOM CLANCY: CHAIN OF COMMAND,Marc Cameron,Hardcover Fiction,13,4.6,3553.0,14.99,9780593188163,Putnam,2021-12-05,B08WJ5BG3K
IMMUNE,Philipp Dettmer,Hardcover Nonfiction,15,4.9,2286.0,20.8,9780593241318,Random House,2021-12-05,0593241312
GOING THERE,Katie Couric,Hardcover Nonfiction,14,4.4,4033.0,0.0,9780316535861,"Little, Brown",2021-12-05,B094RGFVWX
E.R. NURSES,James Patterson and Matt Eversmann with Chris Mooney,Hardcover Nonfiction,15,4.5,3181.0,11.55,9780759554269,"Little, Brown",2021-11-28,0759554269
TO RESCUE THE REPUBLIC,Bret Baier with Catherine Whitney,Hardcover Nonfiction,11,4.8,3005.0,14.99,9780063039544,Custom House,2021-11-28,B08SMFY9MG
MY BODY,Emily Ratajkowski,Hardcover Nonfiction,7,4.6,889.0,13.0,9781250817860,Metropolitan,2021-11-28,1250817862
THE SENTENCE,Louise Erdrich,Hardcover Fiction,9,4.4,2147.0,14.99,9780062671127,Harper,2021-11-28,B08TWYG991
APPLES NEVER FALL,Liane Moriarty,Hardcover Fiction,14,4.2,30342.0,0.0,9781250220257,Holt,2021-11-28,B08V8939WY
BOTH/AND,Huma Abedin,Hardcover Nonfiction,14,4.6,863.0,15.0,9781501194801,Scribner,2021-11-21,1501194801
WHOLEHEARTED FAITH,Rachel Held Evans with Jeff Chu,Hardcover Nonfiction,12,4.8,398.0,22.99,9780062894472,HarperOne,2021-11-21,0062894471
WOKE UP THIS MORNING,Michael Imperioli and Steve Schirripa with Philip Lerman,Hardcover Nonfiction,6,4.7,1064.0,20.25,9780063090026,Morrow,2021-11-21,0063090023
THE BOYS,Ron Howard and Clint Howard,Hardcover Nonfiction,15,4.7,3934.0,0.0,9780063065246,Morrow,2021-11-21,B092BB6JSF
OH WILLIAM!,Elizabeth Strout,Hardcover Fiction,15,4.2,7230.0,14.99,9780812989434,Random House,2021-11-21,B08PYR4X94
THE FAMILY,Naomi Krupitsky,Hardcover Fiction,11,4.1,1710.0,14.99,9780525541998,Putnam,2021-11-21,B08XHFFNX4
OUR COUNTRY FRIENDS,Gary Shteyngart,Hardcover Fiction,10,3.8,1582.0,14.99,9781984855121,Random House,2021-11-21,B08VRP55V1
WOKE RACISM,John McWhorter,Hardcover Nonfiction,10,4.6,1155.0,18.01,9780593423066,Portfolio,2021-11-14,0593423062
MIDNIGHT IN WASHINGTON,Adam Schiff,Hardcover Nonfiction,11,4.8,3364.0,19.22,9780593231524,Random House,2021-11-14,059323152X
NOT ALL DIAMONDS AND ROSÉ,Dave Quinn,Hardcover Nonfiction,6,4.4,2581.0,18.79,9781250765789,Andy Cohen,2021-11-14,1250765781
DEAR SANTA,Debbie Macomber,Hardcover Fiction,13,4.6,3829.0,11.99,9781984818812,Ballantine,2021-11-14,B08TGL2689
SILVERVIEW,John Le Carré,Hardcover Fiction,12,4.2,4158.0,14.99,9780593490594,Viking,2021-11-14,B0957T3TLN
FORGIVING PARIS,Karen Kingsbury,Hardcover Fiction,11,4.7,1764.0,12.99,9781982104412,Atria,2021-11-14,B08VJL9XS7
THE FIRST 21,Frank Feranna and Nikki Sixx,Hardcover Nonfiction,8,4.8,1403.0,20.49,9780306923708,Hachette,2021-11-07,030692370X
WHERE THE DEER AND THE ANTELOPE PLAY,Nick Offerman,Hardcover Nonfiction,14,4.5,651.0,0.0,9781101984697,Dutton,2021-11-07,B08ZGG5F12
MUSIC IS HISTORY,Questlove with Ben Greenman,Hardcover Nonfiction,15,4.8,265.0,14.99,9781419751431,Abrams Image,2021-11-07,1419751433
THE BUTLER,Danielle Steel,Hardcover Fiction,15,4.5,5437.0,14.99,9781984821522,Delacorte,2021-11-07,B08SJNJWZL
CROSSROADS,Jonathan Franzen,Hardcover Fiction,13,4.2,3999.0,15.0,9780374181178,"Farrar, Straus & Giroux",2021-11-07,0374181179
IT'S BETTER TO BE FEARED,Seth Wickersham,Hardcover Nonfiction,10,4.6,1058.0,14.99,9781631498237,Liveright,2021-10-31,1631498231
THE DYING CITIZEN,Victor Davis Hanson,Hardcover Nonfiction,15,4.8,1790.0,21.37,9781541647534,Basic,2021-10-31,154164753X
THERE IS NOTHING FOR YOU HERE,Fiona Hill,Hardcover Nonfiction,12,4.6,1273.0,16.99,9780358574316,Mariner,2021-10-31,B08NWT7LZ7
RIGGED,Mollie Hemingway,Hardcover Nonfiction,14,4.8,1781.0,14.99,9781684512591,Regnery,2021-10-31,168451259X
THE JAILHOUSE LAWYER,James Patterson and Nancy Allen,Hardcover Fiction,15,4.5,6458.0,14.99,9780316276627,"Little, Brown",2021-10-31,B08X4C3HKF
THE BOOK OF MAGIC,Alice Hoffman,Hardcover Fiction,8,4.7,2328.0,13.99,9781982151485,Simon & Schuster,2021-10-31,198215148X
BEWILDERMENT,Richard Powers,Hardcover Fiction,11,4.3,3998.0,13.97,9780393881141,Norton,2021-10-24,0393881148
THREE SISTERS,Heather Morris,Hardcover Fiction,12,4.6,3076.0,14.49,9781250276896,St. Martin's,2021-10-24,1250276896
I'LL TAKE YOUR QUESTIONS NOW,Stephanie Grisham,Hardcover Nonfiction,4,4.0,3123.0,12.99,9780063142930,Harper,2021-10-24,B09792ZGYZ
VINCE FLYNN: ENEMY AT THE GATES,Kyle Mills,Hardcover Fiction,15,4.6,13379.0,14.99,9781982164881,Emily Bestler/Atria,2021-10-24,B08VBS7RZX
UNREQUITED INFATUATIONS,Stevie Van Zandt,Hardcover Nonfiction,15,4.6,1232.0,15.5,9780306925429,Hachette,2021-10-24,0306925427
